127.0.0.1 - - [08/Mar/2018:19:24:02 -0300] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:24:04 -0300] "GET /06-EstoqueWs/ HTTP/1.1" 200 3478
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:24:04 -0300] "GET /06-EstoqueWs/axis2-web/css/axis-style.css HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:24:04 -0300] "GET /06-EstoqueWs/axis2-web/images/asf-logo.gif HTTP/1.1" 200 5866
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:24:04 -0300] "GET /06-EstoqueWs/axis2-web/images/axis_l.jpg HTTP/1.1" 200 12340
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:28:13 -0300] "GET /06-EstoqueWs/services/listServices HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:35:10 -0300] "GET /06-EstoqueWs/services/listServices HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [08/Mar/2018:19:35:13 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 5304
127.0.0.1 - - [08/Mar/2018:19:35:22 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 5304
127.0.0.1 - - [08/Mar/2018:19:35:22 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 5304
127.0.0.1 - - [08/Mar/2018:19:35:25 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 5304
127.0.0.1 - - [08/Mar/2018:19:35:25 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 5304
127.0.0.1 - - [08/Mar/2018:19:35:25 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 5304
127.0.0.1 - - [08/Mar/2018:19:45:31 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 5304
127.0.0.1 - - [08/Mar/2018:19:45:31 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 5304
127.0.0.1 - - [08/Mar/2018:19:45:40 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 5304
127.0.0.1 - - [08/Mar/2018:19:45:40 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 5304
127.0.0.1 - - [08/Mar/2018:19:45:40 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 5304
127.0.0.1 - - [08/Mar/2018:19:45:40 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 5304
127.0.0.1 - - [08/Mar/2018:19:45:40 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 5304
127.0.0.1 - - [08/Mar/2018:19:45:41 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 5304
127.0.0.1 - - [08/Mar/2018:19:56:59 -0300] "POST /06-EstoqueWs/services/EstoqueBO.EstoqueBOHttpSoap12Endpoint/ HTTP/1.1" 500 399
127.0.0.1 - - [08/Mar/2018:19:57:23 -0300] "POST /06-EstoqueWs/services/EstoqueBO.EstoqueBOHttpSoap12Endpoint/ HTTP/1.1" 500 399
127.0.0.1 - - [08/Mar/2018:20:18:23 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 7354
127.0.0.1 - - [08/Mar/2018:20:18:23 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 7354
127.0.0.1 - - [08/Mar/2018:20:18:24 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 7354
127.0.0.1 - - [08/Mar/2018:20:18:24 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 7354
127.0.0.1 - - [08/Mar/2018:20:18:24 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 7354
127.0.0.1 - - [08/Mar/2018:20:18:24 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 7354
127.0.0.1 - - [08/Mar/2018:20:18:25 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 7354
127.0.0.1 - - [08/Mar/2018:20:18:25 -0300] "GET /06-EstoqueWs/services/EstoqueBO?wsdl HTTP/1.1" 200 7354
127.0.0.1 - - [08/Mar/2018:20:36:33 -0300] "POST /06-EstoqueWs/services/EstoqueBO.EstoqueBOHttpSoap12Endpoint/ HTTP/1.1" 200 775
